slug,title,url,layer,rule,severity,detail,field,stored_value,expected_or_found
motorola-solutions-d-fend-solutions,Motorola Solutions - D-Fend Solutions,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/motorola-solutions-d-fend-solutions,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
innio-group-%E2%80%93-enerflex-0,INNIO Group – Enerflex,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/innio-group-%E2%80%93-enerflex-0,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
transocean-valaris,Transocean - Valaris,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/transocean-valaris,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
service-stream-%E2%80%93-rie,Service Stream – RiE,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/service-stream-%E2%80%93-rie,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
coles-%E2%80%93-supermarket-site-in-minto-nsw,"Coles – supermarket site in Minto, NSW",https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/coles-%E2%80%93-supermarket-site-in-minto-nsw,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
smile-partners-australia-%E2%80%93-mehta-orthodontics,Smile Partners Australia – Mehta Orthodontics,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/smile-partners-australia-%E2%80%93-mehta-orthodontics,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
stonepeak-%E2%80%93-castrol,Stonepeak – Castrol,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/stonepeak-%E2%80%93-castrol,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
eli-lilly-kelonia-therapeutics,Eli Lilly - Kelonia Therapeutics,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/eli-lilly-kelonia-therapeutics,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
wpf-duratec-pacific-welding-davhold-australia,WPF Duratec - Pacific Welding (Davhold Australia),https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/wpf-duratec-pacific-welding-davhold-australia,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
barro-group-bqc-quarries-and-burdekin-concrete,Barro Group - BQC Quarries and Burdekin Concrete,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/barro-group-bqc-quarries-and-burdekin-concrete,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
google-wiz,Google - Wiz,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/google-wiz,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
ampol-%E2%80%93-eg-australia,Ampol – EG Australia,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/ampol-%E2%80%93-eg-australia,1,COMPLETED_MISSING_PUB_DATE,WARNING,Assessment completed but determination_publication_date is empty.,determination_publication_date,,non-empty
asahi-%E2%80%93-warehouse-site-on-tilburn-rd-deer-park-vic,"Asahi – Warehouse site on Tilburn Rd, Deer Park (Vic)",https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/asahi-%E2%80%93-warehouse-site-on-tilburn-rd-deer-park-vic,1,ANZSIC_NO_CODE_FOUND,WARNING,anzsic_codes field present but no 4-digit ANZSIC codes found: '121 Beverage Manufacturing; 67 Property Operators and Real Estate Services'.,anzsic_codes,121 Beverage Manufacturing; 67 Property Operators and Real Estate Services,at least one 4-digit code
pine-australia-evolution-business-systems,Pine Australia - Evolution Business Systems,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/pine-australia-evolution-business-systems,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
opal-healthcare-bethel-aged-care,Opal HealthCare - Bethel Aged Care,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/opal-healthcare-bethel-aged-care,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
autopact-freehold-interest-in-commercial-land-in-ferntree-gully-vic,"Autopact - Freehold interest in commercial land in Ferntree Gully, VIC",https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/autopact-freehold-interest-in-commercial-land-in-ferntree-gully-vic,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
baupost-%E2%80%93-mcdermott,Baupost – McDermott,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/baupost-%E2%80%93-mcdermott,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
cvc-capital-partners-%E2%80%93-chesscom,CVC Capital Partners – Chess.com,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/cvc-capital-partners-%E2%80%93-chesscom,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
jardines-i-med,Jardines - I-MED,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/jardines-i-med,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
autopact-freehold-interest-in-commercial-land-in-dubbo-nsw,"Autopact - Freehold interest in commercial land in Dubbo, NSW",https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/autopact-freehold-interest-in-commercial-land-in-dubbo-nsw,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
tasmea-%E2%80%93-jps-holdings,Tasmea – JPS Holdings,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/tasmea-%E2%80%93-jps-holdings,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
banijay-entertainment-%E2%80%93-all3media,Banijay Entertainment – All3Media,https://www.accc.gov.au/public-registers/acquisitions-and-mergers-registers/acquisitions-register/banijay-entertainment-%E2%80%93-all3media,2,ENTRY_STORED_BUT_NOT_IN_LISTING,WARNING,"Entry is in stored data but did not appear on any listing page in this verification run. It may have been removed from the register, or the listing scrape may be incomplete.",,,
